LocalPath,SuggestedLiveURL,Title,H1,PublishedDateIfPresent,StrategicLane,CTA,RelatedOfferLane,Notes
public/analysis/china-financing-africa-deal-terms.html,https://www.afrodescendantali.com/analysis/china-financing-africa-deal-terms.html,China Financing in Africa and the Power of Deal Terms | Afrodescendant Ali,China Financing in Africa and the Power of Deal Terms,2026-05-19,"Sub-Saharan Africa / trade, capital, and deal terms",View memo path -> ../work/memo.html,Custom intelligence memo,Untracked in the pre-existing working tree. External destinations were extracted but not live-verified.
public/analysis/critical-minerals-data-access.html,https://www.afrodescendantali.com/analysis/critical-minerals-data-access.html,"Critical Minerals, Data Access, and Black Strategic Power | Afrodescendant Ali","Critical Minerals, Data Access, and Black Strategic Power",2026-05-19,Sub-Saharan Africa / critical minerals / data access,View audit path -> ../work/audit.html,Media / intelligence system audit,Untracked in the pre-existing working tree. External destinations were extracted but not live-verified.
public/analysis/diaspora-capital-remittances-strategic-power.html,https://www.afrodescendantali.com/analysis/diaspora-capital-remittances-strategic-power.html,"Diaspora Capital, Remittances, and Strategic Power | Afrodescendant Ali","Diaspora Capital, Remittances, and Strategic Power",2026-05-18,Diaspora capital / remittances / political economy,Request a custom memo -> ../contact.html,Custom intelligence memo,No special note.
public/analysis/from-public-analysis-to-paid-intelligence.html,https://www.afrodescendantali.com/analysis/from-public-analysis-to-paid-intelligence.html,From Public Analysis to Paid Intelligence | Afrodescendant Ali,From Public Analysis to Paid Intelligence,2026-05-18,Offer architecture / public-to-paid intelligence,View paid work -> ../work.html,Offer ladder,No special note.
public/analysis/index.html,https://www.afrodescendantali.com/analysis/,Analysis | Afrodescendant Ali,Public intelligence that leads to qualified action,NOT FOUND IN LOCAL FILES,Multi-lane Analysis hub,See method -> ../method.html,Method / trust,External destinations were extracted but not live-verified.
public/analysis/kenya-fuel-shock-worker-mobility.html,https://www.afrodescendantali.com/analysis/kenya-fuel-shock-worker-mobility.html,Kenya Fuel Shock and the Politics of Worker Mobility | Afrodescendant Ali,Kenya Fuel Shock and the Politics of Worker Mobility,2026-05-19,East Africa / energy security / worker mobility,View briefing path -> ../work/briefing.html,Rapid advisory briefing,Untracked in the pre-existing working tree. External destinations were extracted but not live-verified.
public/analysis/media-analysis-content-revenue-system.html,https://www.afrodescendantali.com/analysis/media-analysis-content-revenue-system.html,How Media Analysis Becomes a Content-to-Revenue System | Afrodescendant Ali,How Media Analysis Becomes a Content-to-Revenue System,2026-05-18,Media and narrative / content-to-revenue systems,Request an audit -> ../contact.html,Media / intelligence system audit,No special note.
public/analysis/nigeria-refinery-ownership-energy-security.html,https://www.afrodescendantali.com/analysis/nigeria-refinery-ownership-energy-security.html,"Nigeria Refinery Power, Ownership, and Energy Security | Afrodescendant Ali","Nigeria Refinery Power, Ownership, and Energy Security",2026-05-19,Sub-Saharan Africa / energy security / ownership,View memo path -> ../work/memo.html,Custom intelligence memo,Untracked in the pre-existing working tree. External destinations were extracted but not live-verified.
public/analysis/strategic-clarity-changing-pan-african-world.html,https://www.afrodescendantali.com/analysis/strategic-clarity-changing-pan-african-world.html,Strategic Clarity for a Changing Pan-African World | Afrodescendant Ali,Strategic Clarity for a Changing Pan-African World,2026-05-18,Pan-African strategy / power / historical memory,Start a qualified inquiry -> ../contact.html,Qualified inquiry,No special note.
public/analysis/why-east-africa-matters-diaspora-intelligence.html,https://www.afrodescendantali.com/analysis/why-east-africa-matters-diaspora-intelligence.html,Why East Africa Matters to Diaspora Intelligence | Afrodescendant Ali,Why East Africa Matters to Diaspora Intelligence,2026-05-18,East Africa / ports and corridors / diaspora intelligence,Request a briefing -> ../contact.html,Rapid advisory briefing,No special note.
